BRANDS SOLD,PRODUCT TYPES/ CATEGORIES,RETAILER TYPE,RETAILER_ID,RETAILER NAME,LOCATION NAME,ADDRESS,LAND MARK,CITY,DISTRICT,STATE/PROVINCE,ZIP/POSTAL CODE,COUNTRY,CONTACT PHONE,STORE SIZE,GEO COORDINATES,TIER LEVEL OF GOODS SOLD,URL,NUMBER OF STORES/BRANCHIES IN THE CHAIN,HQ ADDRESS,HOLDING COMPANY NAME,HOLDING COMPANY ADDRESS,HOLDINGS CONTACT,URL (HOLDING COMAPANY),MANUFACTURER / FACTORY,MANUFACTURER ADDRESS,MANUFACTURER CONTACT
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"PLOT NO 178 & 178 AIND & BUSINESS
 PARKELANTE MALL PHASE 1",,CHANDIGARH,,,160002,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"LG 39 MARKET CITYVALACHERY RD
 INDIRAGANDHI NAGAR NR GNG CRICKET",,CHENNAI,,,600042,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"24 AND2 4A SECONDCROSS STREET 
ORMESROAD KILPAUK",,CHENNAI,,,600010,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"MEDAVAKKAM MAIN ROADKILKATTALAI VILLAGET
AMBARAM TALUK KANCHIPURAM",,CHENNAI,,,600117,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"RDRL ASHOK PILLARCHENNAI RELIANCEDIGITAL RETAIL LTD 
DOOR NO 21 21 A FIRST AVENUE PLOT NO A 37 ASHOK NAGAR KODAMBAKKAM VILLAGE",,CHENNAI,,,600083,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"NO 60 KUPPU ARCADEVENKAT NARYAN ROADT NAGAR 
LAND MARK NEAR INDIAN OIL PETROL BUNK"," NO 60 KUPPU ARCADEVENKAT NARYAN ROADT NAGAR 
LAND MARK NEAR INDIAN OIL PETROL BUNK",CHENNAI,,,600017,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"NO 34 3RD 
AVENUEANNA NAGAR E",,CHENNAI,,,600040,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"RDRL THIRUVANMIYUR5379 NO 45 KANNAPANNAGAR 
MUTTUKADU RD EAST COAST RD",,CHENNAI,,,600041,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"282 GST RD NRCHROMPET 
BUSTERMINAL CHROMPET",,CHENNAI,,,600044,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"PLOT NO 41 & 42 1STFLR 
M T H RDAMBATTUR OT",,CHENNAI,,,600053,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"NEW NO 47OLD NO 11 A1 11 A2M
ECO HOUSE ANNA SALAI",,CHENNAI,,,600002,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"PLOT NO 3 PC 11MOGAPPAIR WESTNR
 MOGAPPAIR WEST BUS DEPOT",,CHENNAI,,,600050,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"NO 89 DR RADHAKRISHNAN 
SALAIMYLAPORE",,CHENNAI,,,600004,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"AB 12 IIND 
AVENUEANNA NAGAR",,CHENNAI,,,600040,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"8680 PLOT NO 52FIRST  MAIN 
ROADGANDHI NAGAR  ADYAR",,CHENNAI,,,600020,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"8724D XPRESS SHOP NO4 GROUND & FIRST FLRSINDUR ETERNITY
 NEW DOOR NO 60 MONTIETH ROAD EGMORE VILLAGE",,CHENNAI,,,600008,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"7505 DX MINI NORTHUSMAN RD T NAGAROLD NO 20 NEW NO 39 
NORTH USMAN ROAD T NAGAR",,CHENNAI,,,600017,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"7506  DX MINI PORURCHENNAI NO 51 7
ARCOT ROAD",,CHENNAI,,,600016,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"7509 100FT ROAD
VADAPALANI",,CHENNAI,,,600026,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"7531 OLD NO33 NEARBROADWAY 
THEATERBROADWAY"," 7531 OLD NO33 NEARBROADWAY 
THEATERBROADWAY",CHENNAI,,,600108,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"7539 SHOP NO 4 25442009 03 08 2009 DOORNO 162 PLOT NO 995E 2ND 
AVENUE ANNA NAGAR",,CHENNAI,,,600040,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"7540 NO 884A 298 
GSTROAD URAPPAKKAM",,CHENNAI,,,603210,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"7580 NO 81 1 GROUNDFLOOR 
R K MUTT ROADMANDAVELLI",,CHENNAI,,,600028,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
